file_name,entry_id,block_name,source_tag,name_metal_tag,topology_tag,dim_tag,file_size_bytes,file_sha1,chemical_formula_sum_raw,parse_status,parse_fail_reason
LAVMAY_FSR_pacman.cif,LAVMAY,LAVMAY_FSR_pacman,FSR,,,,5372,bf78da93a34cece9c95522816397a46dd7393acf,'Zn6 P2 H12 C14 N30 O8',PASS,
LAVZUG_ASR_pacman.cif,LAVZUG,LAVZUG_ASR_pacman,ASR,,,,11824,a609bdffd5c5a653921ba68ee527b473ddf50fed,'U12 P16 H24 C56 O64',PASS,
LAWFUN_ASR_pacman.cif,LAWFUN,LAWFUN_ASR_pacman,ASR,,,,12054,1096c137c107a09232aa41005bbbae96d7332529,'Li4 Zn4 H56 C68 N20 O24',PASS,
LAWFUN_FSR_pacman.cif,LAWFUN,LAWFUN_FSR_pacman,FSR,,,,12054,24c6d0692b202eedae1053151d506861d72aac6e,'Li4 Zn4 H56 C68 N20 O24',PASS,
LAWHEZ01_ASR_pacman.cif,LAWHEZ01,LAWHEZ01_ASR_pacman,ASR,,,,41439,10b43f82e959233fd7ca96522e573b2381690318,'Eu12 Zn24 H160 C248 N72 O112',PASS,
LAWHEZ_ASR_pacman.cif,LAWHEZ,LAWHEZ_ASR_pacman,ASR,,,,41493,86849912e790715e82d78f2e2b9dda3ef5186ce6,'Eu12 Zn24 H160 C248 N72 O112',PASS,
LAWHEZ_FSR_pacman.cif,LAWHEZ,LAWHEZ_FSR_pacman,FSR,,,,43266,90bc76207acd75aad815baa99fcc078b0150662a,'Eu12 Zn24 H160 C248 N72 O140',PASS,
LAWHOJ_ASR_pacman.cif,LAWHOJ,LAWHOJ_ASR_pacman,ASR,,,,7760,32a898959f3b72ef6b9439eb7fc7b953ce4355ac,'Cd6 H12 C48 S7 N12 O24',PASS,
LAWHOJ_FSR_pacman.cif,LAWHOJ,LAWHOJ_FSR_pacman,FSR,,,,7760,cf3af2ce3a1556a9972382e43ce2da8654f58713,'Cd6 H12 C48 S7 N12 O24',PASS,
LAWHUP_ASR_pacman.cif,LAWHUP,LAWHUP_ASR_pacman,ASR,,,,7761,37710ef93839fdd1841f7c106cbd027dc2d67626,'Cd6 H12 C48 S7 N12 O24',PASS,
LAWHUP_FSR_pacman.cif,LAWHUP,LAWHUP_FSR_pacman,FSR,,,,7772,f0a9276b7008d84ad88e9e474582294b7dd0a73f,'Cd6 H12 C48 S7 N12 O24',PASS,
LAXCUK_ASR_pacman.cif,LAXCUK,LAXCUK_ASR_pacman,ASR,,,,52253,c87013a7673c29fc535b9ade3fc24de38f02d3bc,'Zn16 Cu12 C636 N48 O80',PASS,
LAXCUK_FSR_pacman.cif,LAXCUK,LAXCUK_FSR_pacman,FSR,,,,52582,b511e6ab00fb1497217930565267353681b879f6,'Zn16 Cu12 C636 N48 O84',PASS,
LAXJAX_ASR_pacman.cif,LAXJAX,LAXJAX_ASR_pacman,ASR,,,,173001,9c91e850f0391da51be12a928d2c425cff0f1271,'Co48 H768 C1248 S96 N480',PASS,
LAXJAX_FSR_pacman.cif,LAXJAX,LAXJAX_FSR_pacman,FSR,,,,173148,7dfb1c39a4058d549d2ae8e48f7bd900659a8463,'Co48 H768 C1248 S96 N480',PASS,
LAXVOZ_ASR_pacman.cif,LAXVOZ,LAXVOZ_ASR_pacman,ASR,,,,8977,ef9fb3a723d6a12ceedef30f0f0dff791f533e5a,'Co8 H40 C48 N4 O28',PASS,
LAXVOZ_FSR_pacman.cif,LAXVOZ,LAXVOZ_FSR_pacman,FSR,,,,8945,6237e7b738c437ffde96aac16092607cd8c5e47a,'Co8 H40 C48 N4 O28',PASS,
LAXWUG_ASR_pacman.cif,LAXWUG,LAXWUG_ASR_pacman,ASR,,,,8965,53f0557667ca5433f7bb09454065bc146a5a9a0e,'Co8 H40 C48 N4 O28',PASS,
LAXWUG_FSR_pacman.cif,LAXWUG,LAXWUG_FSR_pacman,FSR,,,,8977,f9b731f08fdc7a736d8f5965be8afe5c7f1634bd,'Co8 H40 C48 N4 O28',PASS,
LAZGOK_ASR_pacman.cif,LAZGOK,LAZGOK_ASR_pacman,ASR,,,,6856,10ffca52812addf9ad1cdcb697f0e73c28ca46fe,'Cu5 H24 C30 N12 O24',PASS,
LAZHUR_ASR_pacman.cif,LAZHUR,LAZHUR_ASR_pacman,ASR,,,,12409,8cd515586fd63d04b1ff79d526d8745f93263259,'Co4 H64 C82 N8 O24',PASS,
LAZHUR_FSR_pacman.cif,LAZHUR,LAZHUR_FSR_pacman,FSR,,,,12687,b0586339fb54abae82c101866ade469e2844454f,'Co4 H64 C82 N8 O28',PASS,
LAZKUU_ASR_pacman.cif,LAZKUU,LAZKUU_ASR_pacman,ASR,,,,18570,1b4dabb212c960a115140bf48babd988815444c9,'Cd4 H96 C144 N24 Cl8',PASS,
LAZKUU_FSR_pacman.cif,LAZKUU,LAZKUU_FSR_pacman,FSR,,,,18570,7085c8b53d017acb57340564f46735599fee4041,'Cd4 H96 C144 N24 Cl8',PASS,
LAZLEF_ASR_pacman.cif,LAZLEF,LAZLEF_ASR_pacman,ASR,,,,15807,d07ee903da9796b0db7b206a32dcd11aae722534,'Cd6 H72 C108 S6 N18 O24',PASS,
LAZLEF_FSR_pacman.cif,LAZLEF,LAZLEF_FSR_pacman,FSR,,,,15810,eebd5c64971ab2e7a94c64bdfe0cb8f3129a1abb,'Cd6 H72 C108 S6 N18 O24',PASS,
LAZXIV_ASR_pacman.cif,LAZXIV,LAZXIV_ASR_pacman,ASR,,,,13594,7266767119deba0fff22f9d5dd2971d738d2384a,'Cu12 H56 C84 O48',PASS,
LAZXOB_ASR_pacman.cif,LAZXOB,LAZXOB_ASR_pacman,ASR,,,,12364,c57207a070d0397241ca02a195b64eda08ddbd7b,'Cu12 H32 C88 O48',PASS,
LAZXOB_FSR_pacman.cif,LAZXOB,LAZXOB_FSR_pacman,FSR,,,,13140,9037713295bdd403afc37e6e5737f6b552a73f00,'Cu12 H32 C88 O60',PASS,
LECGAD_ASR_pacman.cif,LECGAD,LECGAD_ASR_pacman,ASR,,,,4843,bff96c784021fc91a7211aa8ad31260c91479fcf,'Cu2 H16 C30 N8 O8',PASS,
LECGAD_FSR_pacman.cif,LECGAD,LECGAD_FSR_pacman,FSR,,,,4970,728ec0252247de3ec8c06d08bb18b30e21cc9502,'Cu2 H16 C30 N8 O10',PASS,
LECGEH_ASR_pacman.cif,LECGEH,LECGEH_ASR_pacman,ASR,,,,4848,a05dc3d25c456e3d519efeda6a0b727785f29f25,'Co2 H16 C30 N8 O8',PASS,
LECGIL_ion_pacman.cif,LECGIL,LECGIL_ion_pacman,ion,,,,16631,22eeabb0119fdf8874c0287066d86b5f961c4b75,'Cu13 Mo24 P2 H36 C32 N48 O90',PASS,
LEDJOU_ASR_pacman.cif,LEDJOU,LEDJOU_ASR_pacman,ASR,,,,13592,84c6ae011b951bfb4d5f7a609a42a7fff3237abf,'Gd4 P12 H92 C40 N16 O36',PASS,
LEDJOU_FSR_pacman.cif,LEDJOU,LEDJOU_FSR_pacman,FSR,,,,13574,60eb5cc16a471d50fe088076cf754d045fa0279c,'Gd4 P12 H92 C40 N16 O36',PASS,
LEDJUA_FSR_pacman.cif,LEDJUA,LEDJUA_FSR_pacman,FSR,,,,7035,5e41715e4939928b4b7bfdf4b6e181628e49b715,'Nd2 P8 H42 C18 N6 O22',PASS,
LEDLEN_ASR_pacman.cif,LEDLEN,LEDLEN_ASR_pacman,ASR,,,,25261,63db745b1f1ee372ed168c7b4c37a02745f1284f,'Cu8 H156 C148 N12 O56',PASS,
LEDLEN_FSR_pacman.cif,LEDLEN,LEDLEN_FSR_pacman,FSR,,,,25299,ae006c110cab06aa77d9cadaf5affca5abb6b392,'Cu8 H156 C148 N12 O56',PASS,
LEDPIU_FSR_pacman.cif,LEDPIU,LEDPIU_FSR_pacman,FSR,,,,17225,9bd34ef956268d5f239e52e4f5953573a3d19b8b,'Cu6 H104 C96 N24 O26',PASS,
LEGGIO_FSR_pacman.cif,LEGGIO,LEGGIO_FSR_pacman,FSR,,,,17784,cb1c711a5e11534a20ec84ede314574d0afb8ded,'Zn16 H64 C96 N48 O40',PASS,
LEHXUT_ASR_pacman.cif,LEHXUT,LEHXUT_ASR_pacman,ASR,,,,64738,a8d0d3950f72d7543e7b1d36b47ec948ebd6afd0,'Cu24 H312 C504 N24 O120',PASS,
LEJBUX_ASR_pacman.cif,LEJBUX,LEJBUX_ASR_pacman,ASR,,,,3333,eb36cf2f7fc69a191379fad470827efcadaa63bb,'Cd8 C32',PASS,
LEJBUX_FSR_pacman.cif,LEJBUX,LEJBUX_FSR_pacman,FSR,,,,3833,33407e67f0774aa2ce8564e560b745b0331fdf2b,'Cd8 C32 O8',PASS,
LEJKIW_ASR_pacman.cif,LEJKIW,LEJKIW_ASR_pacman,ASR,,,,13313,dcdec65714d12104ea64c8a71e4dc735ce911d96,'In18 P34 H22 O120',PASS,
LEJKIW_FSR_pacman.cif,LEJKIW,LEJKIW_FSR_pacman,FSR,,,,15631,357c96c7c0e5afcbe9af85aa8fd3247de350cd22,'In18 P34 H46 O132',PASS,
LEJRIC_ASR_pacman.cif,LEJRIC,LEJRIC_ASR_pacman,ASR,,,,4224,2d56403f7bdde6a772d9cf01226518543bb37496,'Ni6 H6 C24 O18',PASS,
LEJRIC_FSR_pacman.cif,LEJRIC,LEJRIC_FSR_pacman,FSR,,,,4615,6d62eb9d66a39df1c514670a4b05915206567ec4,'Ni6 H6 C24 O24',PASS,
LEJZOQ_ion_pacman.cif,LEJZOQ,LEJZOQ_ion_pacman,ion,,,,22276,1ce9682afff2f6948dd6ce0a60f252c98db13880,'Co4 H140 C118 N28 O44',PASS,
LELDOX_ASR_pacman.cif,LELDOX,LELDOX_ASR_pacman,ASR,,,,40436,5be18e980483d02e23aa5dc4cb3d483e655de4fb,'Cu12 H216 C276 N12 O96',PASS,
LELDUD_ASR_pacman.cif,LELDUD,LELDUD_ASR_pacman,ASR,,,,97817,9e8dca35fb953b1816c552b52576f0160750308c,'Cu48 H384 C816 N48 O192',PASS,
LELMEW_ASR_pacman.cif,LELMEW,LELMEW_ASR_pacman,ASR,,,,53942,ce1e0656f20269cc05818d13139d1c307fc63c32,'Cu48 H216 C368 N44 O144',PASS,
LELROL_ASR_pacman.cif,LELROL,LELROL_ASR_pacman,ASR,,,,25721,fe4bd4a747f4857af45cfcb7552acf1693fe0a93,'Mn10 H112 C184 N68 Cl4 O8',PASS,
LELROL_FSR_pacman.cif,LELROL,LELROL_FSR_pacman,FSR,,,,32111,146737de7b1ebc8a99e0558d681ced9677aec625,'Mn10 H168 C208 N76 Cl4 O20',PASS,
LELRUR_ASR_pacman.cif,LELRUR,LELRUR_ASR_pacman,ASR,,,,23213,70fe0e496b15ac69b5a2941478550ab9997c220e,'La4 P16 H128 C152 O48',PASS,
LELRUR_FSR_pacman.cif,LELRUR,LELRUR_FSR_pacman,FSR,,,,24005,245614a62d9547e4a782506789016ce33120b289,'La4 P16 H128 C152 O60',PASS,
LEMNOH_ASR_pacman.cif,LEMNOH,LEMNOH_ASR_pacman,ASR,,,,7698,703b9720c26abe4a385528e805cff1b130f54935,'Fe4 C64 N40',PASS,
LEMNOH_FSR_pacman.cif,LEMNOH,LEMNOH_FSR_pacman,FSR,,,,7691,c9a906e4d956f56dbb904470f8d88f18748afadc,'Fe4 C64 N40',PASS,
LENGAO_ASR_pacman.cif,LENGAO,LENGAO_ASR_pacman,ASR,,,,26565,a73eb4f55b23b3e0b632f3f0905eca0c5eca5d43,'Cd16 P12 H96 C168 N12 O96',PASS,
LENGES_ASR_pacman.cif,LENGES,LENGES_ASR_pacman,ASR,,,,23462,b88c7b16d3d69d87ff1b79fe7a5c5daaaee047d0,'Cd4 P12 H96 C168 O72',PASS,
LENKIA_FSR_pacman.cif,LENKIA,LENKIA_FSR_pacman,FSR,,,,6928,ec94e23e27d1056bb6306cba78c32233896c2115,'Cu6 H6 C48 N6 O30',PASS,
LENTUX_FSR_pacman.cif,LENTUX,LENTUX_FSR_pacman,FSR,,,,9757,116541b3dff94d0c2dc761e284d41aafdf783322,'Mn4 Cu4 H24 C64 N12 O32',PASS,
LEPKID_ASR_pacman.cif,LEPKID,LEPKID_ASR_pacman,ASR,,,,25826,c841a5350be13e86a6806e79f5fb152160f72163,'Y8 Cu12 H80 C208 N16 O64',PASS,
